company_codes,desc,industry_codes,publication_date,region_codes,title
",goog,onlnfr,onlnfr,","Facebook's chief operating officer made more than $30.5 million last year, more than 20 times what founder Mark Zuckerberg earned as the CEO of the social networking giant, company IPO filings Wednesday showed.

The filings with the Security and Exchange Commission give Zuckerberg's total compensation in 2011 as $1,487,362 dollars.",",iint,imed,isocial,",1328143989000,",namz,usa,",Top Facebook executives surpassed Zuckerberg in pay
",gnmoc,onlnfr,onlnfr,","The Facebook IPO underwhelmed Friday, closing up only 23 cents. Investors are still debating Facebook's worth: Is it must-own stock or a company with limited growth potential?

It's finally official: Facebook is a publicly traded company, and investors in its newly listed stock now own some 421 million shares in the company that has come to define social networking in the online world.",",iint,imed,isocial,",1337299200000,",usa,namz,",Facebook IPO stumbles: Why didn't it wow investors? (+video)
",onlnfr,onlnfr,infoty,","Facebook continues its meteoric growth; it now claims about 500 million active users. People seem to love sharing comments, links, and photos with the folks in their social circles. However, privacy issues lurk in the background; there's also some discontent over wasting time with the inevitable drivel. Facebook is also increasingly used by companies to support public relations and marketing services and to elicit customer feedback. The question remains whether it will push some users out as focus turns to more social media broadcasting, personal endorsements, and influence. People looking for professional connections will head to Linkedln (which has 85 million members and recently began a campaign to help its users ""brand"" themselves).",",iint,imed,isocial,",1293840000000,,Specialized social networks gain traction.(NEWS WATCH)
",onlnfr,onlnfr,","Osama Diab: The talk about banning Facebook is only the surface of a greater crackdown on independent media by an insecure government

Many Egyptians, in what is still a police state, regard Facebook as a safe haven where they can campaign and express their opinions freely. But that could soon change following a crackdown by the authorities against various types of media.",",iint,imed,isocial,",1287532800000,",egypt,africaz,devgcoz,dvpcoz,meastz,medz,nafrz,",Egyptian government fears a Facebook revolution
",onlnfr,onlnfr,","Osama Diab: The talk about banning Facebook is only the surface of a greater crackdown on independent media by an insecure government

Many Egyptians, in what is still a police state, regard Facebook as a safe haven where they can campaign and express their opinions freely. But that could soon change following a crackdown by the authorities against various types of media.",",iint,imed,isocial,",1287532800000,",egypt,africaz,devgcoz,dvpcoz,meastz,medz,nafrz,",Egyptian government fears a Facebook revolution
",onlnfr,onlnfr,","Unless you’ve been chained to a fax machine for the past seven years, you’ll have noticed that Facebook is immensely popular.

Users numbered 641 million by February of this year.",",iint,imed,isocial,",1301961600000,",austr,apacz,ausnz,","Facebook and your privacy: friend or ""unfriend""?"
",onlnfr,onlnfr,","Workplace Law

FACEBOOK is fast becoming a medium through which employees express their workplace displeasure.",",iint,imed,isocial,",1303689600000,",austr,apacz,ausnz,",Posting a gripe can risk sack
",bigmac,dwitd,gnmoc,goog,grpniu,onlnfr,pzaoob,wshpst,onlnfr,","Facebook's debut on Wall Street last week may have been so-so. But on Monday, it officially flopped.

Shares dropped 11 percent from the original starting price.",",iint,imed,isocial,",1337644800000,",usa,usdc,namz,use,","Facebook shares drop 11 percent; Facebook's debut on Wall Street last week may have been so-so. But on Monday, it officially flopped. Share prices dropped 11 percent from the original starting price."
",onlnfr,onlnfr,","M ore than 500 million people have signed up to social networking website Facebook.

While the less discerning seem to have made it their goal to invite just about every other member to become their Facebook friend, the most paranoid of users have just invited immediate family.",",iint,imed,isocial,",1301270400000,",nz,apacz,ausnz,",SECURING YOUR FACEBOOK ACCOUNT
",goog,onlnfr,onlnfr,","8 June 2011 - Online groups Google (NASDAQ:GOOG) and Facebook have cautioned Internet users to expect problems with some popular websites today, as hundreds of companies test a new system for web numbering, the Financial Times reports.

Some 400 leading technology companies will participate in the test today, which will see numerous websites switch to Internet protocol version 6 (IPv6). Problems are expected for users who have their Internet equipment misconfigured or are using older versions of web browsers.",",iint,imed,isocial,",1307491200000,",usa,namz,","-Google, Facebook alert for new Internet system test"
",onlnfr,onlnfr,","NEW YORK (AP) - A technical glitch blocked or slowed access to Facebook for about four hours Thursday, unplugging many of the social-networking site's 500 million users from the constant flow of updates from their friends.

The problems struck widely, including in the U.S., Europe and South America. But by evening, the site was again running smoothly.",",iint,imed,isocial,",1285285535000,",usa,namz,","Status update: Facebook says problem is resolved, offers no explanation for afternoon outages"
",onlnfr,onlnfr,","TECHNOLOGY may have moved on but it seems people cannot shake off the herding instinct, a study of 50 million Facebook users has found.

The Oxford University- led research looked at the rate at which members of the networking site added software applications, known as apps, to their pages – and found social influence had a large role to play.",",iint,imed,isocial,",1286841600000,",scot,eecz,eurz,uk,weurz,",Research reveals ‘herding instinct’ in Facebook users
",onlnfr,goog,onlnfr,","Facebook is trying to evolve from an Internet hangout where people swing by to share tidbits, links and photos to a homestead decorated with the memories, dreams and diversions of its 800 million users.

In what might be the boldest step yet in the company's seven-year history, Facebook is redesigning its users' profile pages to create what CEO Mark Zuckerberg says is a ""new way to express who you are.""",",iint,imed,isocial,",1316736000000,",sfra,usga,namz,usa,usca,uss,usw,",FACEBOOK REDESIGNS USERS' PROFILE PAGES ; NETWORKING SITE LOOKS TO EXTEND REACH
",onlnfr,goog,onlnfr,","Facebook is trying to evolve from an Internet hangout where people swing by to share tidbits, links and photos to a homestead decorated with the memories, dreams and diversions of its 800 million users.

In what might be the boldest step yet in the company's seven-year history, Facebook is redesigning its users' profile pages to create what CEO Mark Zuckerberg says is a ""new way to express who you are.""",",iint,imed,isocial,",1316736000000,",sfra,usga,namz,usa,usca,uss,usw,",FACEBOOK REDESIGNS USERS' PROFILE PAGES ; NETWORKING SITE LOOKS TO EXTEND REACH
",onlnfr,onlnfr,yoinco,","When it comes to friends, at least those of the Facebook brand, it seems Lady Gaga has more than any living person - more than 10 million of them.

The singer who's been charting a new course for pop culture has become the first living person to reach, and apparently quickly exceed, 10 million friends on the social networking website. That, according to various reports, is about 700,000 more than U.S. President Barack Obama.",",iint,imed,isocial,",1278460800000,",caon,cana,namz,",Lady Gaga rules Facebook
",onlnfr,onlnfr,","Facebook has recently inked a partnership with a local digital marketing specialist Better Sdn Bhd to engage Malaysian marketers on the popular social network.

According to Stephen Dolan (pictured), commercial director of Facebook Asia, the partnership offers a platform to communicate with marketers on a much more personal and customised level.",",iint,imed,isocial,",1310774400000,",malay,apacz,asiaz,devgcoz,dvpcoz,seasiaz,",Facebook partners better
",onlnfr,onlnfr,","Nearly half of German companies engage the public via social networks, and Facebook leads the way as the network of choice, a new study shows. Over a third of business, however, have decided social media is not for them.

Social media have developed into a crucial part of German companies, that's according to a survey done by umbrella lobby group Federal Association for Information Technology, Telecommunications and New Media (BITKOM). Some 47 percent of the 723 companies polled had a social media presence and 15 percent more were in the process of creating one.",",iint,imed,isocial,",1336652880000,,"Companies turn to social networks for buzz, customers"
",amtrde,dwitd,onlnfr,onlnfr,","IT seems the honeymoon is already over for Mark Zuckerberg.

In the three days since his wedding - held the day after Facebook's £65billion flotation on the stock market - the firm's value has slumped by more than £12billion.",",iint,imed,isocial,",1337644800000,",uk,eecz,eurz,weurz,",HOW MR FACEBOOK LOST £1BN IN THREE DAYS OF MARRIAGE; SHARES SLUMP AFTER FLOTATION EUPHORIA
",fxcihl,goog,mcrost,onlnfr,yahcor,","Twitter needs an Arab Spring.

In the past 12 months, the microblogging social-networking service played a role in changing the world, 140 characters at a time.",",isocial,iint,imed,",1328140800000,",egypt,china,africaz,apacz,asiaz,bric,chinaz,devgcoz,dvpcoz,easiaz,meastz,medz,nafrz,",#TwitterBlackout emerges 
",onlnfr,onlnfr,","LinkedIn, the professional social networking site, appears to be the latest internet company casualty to suffer investor jitters in the wake of Facebook's over-hyped, botched IPO.

LinkedIn, the professional social networking site, appears to be the latest internet company casualty to suffer investor jitters in the wake of Facebook's over-hyped, botched IPO and subsequent two-week sliding stock performance.",",iint,imed,isocial,",1338681600000,",ire,eecz,eurz,weurz,",Long-term strategy key to LinkedIn success
",fxcihl,goog,mcrost,onlnfr,yahcor,","Twitter needs an Arab Spring.

In the past 12 months, the microblogging social-networking service played a role in changing the world, 140 characters at a time.",",isocial,iint,imed,",1328140800000,",egypt,china,africaz,apacz,asiaz,bric,chinaz,devgcoz,dvpcoz,easiaz,meastz,medz,nafrz,",#TwitterBlackout emerges 
",onlnfr,onlnfr,","April 11--FACEBOOK BUYS INSTAGRAM FOR $1BN: Facebook Inc. has agreed to buy two-year-old photo-sharing application developer Instagram for $1bn in cash and stock, in its largest-ever acquisition just months before the social media website is expected to go public, Reuters has reported. The Instagram application, which allows users to add filters and effects to pictures taken on their iPhone and Android devices and to share those photos with their friends, has gained about 30 million users since it launched in January 2011. Facebook, which is expected to raise $5bn via the largest Silicon Valley initial public offering by May, will acquire Instagram's entire team and continue to develop Instagram as an independent app that remains compatible with other social networking services.

-----",",iint,imed,isocial,",1334102400000,",uae,abudh,asiaz,gulfstz,meastz,wasiaz,","AME Info, Abu Dhabi, United Arab Emirates, media and advertising briefs"
",onlnfr,onlnfr,","By surpassing Indonesia, India has emerged as a nation of the largest number of Facebook users in Asia. The social network witnessed strong user uptake. India had 16.9 million Facebook users in January 2011, now it has over 45.9 million Facebook users. According to recently released figures by Facebook, it has over 850 million users worldwide.",",iint,imed,isocial,",1334966400000,",india,asiaz,bric,devgcoz,dvpcoz,indsubz,sasiaz,",TRENDING - India tops in social network habitats in Asia
",onlnfr,mcrost,goog,onlnfr,","More surfers visited Facebook than all of Microsoft’s websites combined in the UK for the first time ever last month.

A rush of over-50s signing up to the site to write wall posts to friends and tag photos helped make Mark Zuckerberg’s site second in popularity only to Google.",",iint,imed,isocial,",1309132800000,",uk,eecz,eurz,weurz,",SURF’S UP RECORD NUMBERS USE FACEBOOK; LUCY TOBIN
",goog,onlnfr,myspae,onlnfr,specni,","Facebook recently celebrated its 900 millionth member. Now one in every eight human beings is virtually connected to an average of 245 “friends” through Facebook. Since its inception in 2004, Facebook has almost literally swallowed MySpace and other social-media applications. The crowned king of all social media, Mark Zuckerberg, has received his share of attention, like a cover on Time magazine and the movie, “The Social Network.”

The cultural fascination with social media has perhaps given us all a bit of tunnel vision. The technology that gives rise to the rapid growth is the forest and Facebook and like applications are merely the trees.",",iint,imed,isocial,",1338076800000,",usmn,namz,usa,usc,","Local view: Should we sacrifice our brains to the Internet?; Since its inception in 2004, Facebook has almost literally swallowed MySpace and other social-media applications."
",onlnfr,onlnfr,","Some people love it, others hate it, and most older people don't care. The Facebook phenomenon ? the epicentre of social media ? is a major part of many lives.

Its influence, according to the experts, has positive and negative effects.",",iint,imed,isocial,",1337212800000,",austr,nswals,apacz,ausnz,","Some people love it, others hate it, and"
",dwitd,onlnfr,onlnfr,","NEW YORK (MarketWatch) — Mark Zuckerberg has 900 million friends. He has billions of dollars socked away. And, lucky fellow, he just got hitched to his college sweetheart. You’d think he has it all.

Based on the chatter following the flop of the Facebook initial public offering, he probably reckons that, too. He has been largely immune to the widespread criticism that has dominated the deal’s postmortem.",",imed,iint,isocial,",1338350460000,",usa,namz,",Facebook IPO fiasco: Blame Zuckerberg; Commentary: Facebook’s stock price has tumbled some 25%
",onlnfr,onlnfr,goog,","With every new user, Facebook's influence on our lives grows and it is now, by most estimates, the most used website in the world. The site has pledged to always be free - and that's the biggest indication yet of how confident Facebook is that our personal data is valuable enough to continue to expand its business.

After a few high-profile but ultimately impotent protests by some early adopters, the backlash over Facebook's use of data seemed to die down. But in tune with growing public awareness over the control of personal data, a new Facebook union is providing one coherent and off-Facebook hub for discussion.",",iint,imed,isocial,",1281312000000,",uk,eecz,eurz,weurz,",Media: Internet Facebook owes us
",onlnfr,onlnfr,","Is Facebook killing your career? A new survey by finance and accounting recruiter Robert Half has found that up to 71 per cent of managers in Hong Kong take a peek at job applicants' online profiles to help them decide who to hire.

Hong Kong managers are more likely to check profiles on Facebook and LinkedIn, compared with those in Singapore (50 per cent) and Australia (36 per cent).",",iint,imed,isocial,",1308528000000,",hkong,apacz,asiaz,bric,china,chinaz,devgcoz,dvpcoz,easiaz,",Bosses use social media to narrow the field
",goog,onlnfr,","SOCIAL MEDIA IS OFTEN REFERED TO AS THE communication medium of the new millenium. Established and emerging social media channels (FaceBook, Twitter, or FourSquare) are growing their user base exponentially.

In June, FaceBook reached over 750 million active monthly users and it is predicted to reach 1 billion by early 2012. According to the 2011 ComScore Report, Google still dominates Web traffic in terms of number of U.S. visitors, while FaceBook users spend more time per visit and visit more pages.",",isocial,iint,imed,",1314835200000,",usa,namz,",Business focus: social media.(SOCIAL MEDIA)
",amzcom,onlnfr,onlnfr,","Facebook's stock tumbled well below its $38 IPO price in the social network's second day of trading as a public company on Monday.

The stock plunged more than 13 percent at several points during the day, and closed at $34.03, off 10.99 percent from Friday's close. The company lost nearly $10 billion of its market value, and is now worth around $96 billion, about $2 billion below Amazon.com Inc.",",iint,imed,isocial,",1337644800000,",usga,namz,usa,uss,",FACEBOOK STOCK FALLS NEARLY $4 BELOW IPO
",onlnfr,onlnfr,","SAN DIEGO _ Facebook's chief operating officer says her fast-growing company is looking to strengthen its relationship with the news media.

Sheryl Sandberg told the American Society of News Editors on Thursday that the social network helped boost online traffic to media websites fourfold in the past year.",",imed,iint,isocial,",1302214080000,",usa,namz,",Facebook sees opportunity in helping newspaper industry boost online traffic
",renrzn,onlnfr,renrzn,onlnfr,oakpi,","ABI Research noted in its latest report that contrary to common perceptions, Facebook is not the only social networking service (SNS) in town, especially in the Asia-Pacific, where local, gaming-based social networks receive strong support.

While Facebook claims over 750 million active users, this represents only half of the estimated 1.5 billion social network users in 2011, a figure expected to exceed 2.5 billion by 2016.",",iint,imed,isocial,",1317686400000,",usa,namz,",ABI Research: Other Social Networks Can Compete with Facebook
",equoc,onlnfr,","Prospective employers typically ask job applicants for references. But in the age of the Internet, some want much more.

In a chilling disregard for privacy rights, some companies are requiring job seekers to turn over their Facebook passwords during the hiring process.",",isocial,iint,imed,",1333152000000,",usin,namz,usa,usc,",Passwords shouldn't be a condition of employment; Other voices
",onlnfr,onlnfr,","Facebook has opened a Hong Kong office as it looks to boost its presence in Asia.

The move comes despite the fact that the social-networking giant is not active on the Chinese mainland, a potentially huge market.",",iint,imed,isocial,",1297296000000,",china,hkong,apacz,asiaz,bric,chinaz,devgcoz,dvpcoz,easiaz,",Facebook's HK branch to boost presence
",twnit,mks,goog,onlnfr,","BLOGGING website Twitter is now worth MORE than Marks & Spencer - despite being only four years old.

The valuation of the young firm is even more astonishing as it currently LOSES money.",",iint,imed,isocial,",1297468800000,",uk,eecz,eurz,weurz,",Can twitter REALLY be worth more than M& S
",onlnfr,onlnfr,","Analysts and investors are trying to zero in on Facebook Inc.'s value with targets ranging from $50 billion to as much as $125 billion, the Wall Street Journal reports.

Facebook  filed for a $5 billion initial public offering Wednesday, giving investors a look into its financials.",",iint,imed,isocial,",1328227200000,",usca,namz,usa,usw,",Investors consider Facebook value
",onlnfr,onlnfr,","Facebook has opened a Hong Kong office as it looks to boost its presence in Asia.

The move comes despite the fact that the social-networking giant is not active on the Chinese mainland, a potentially huge market.",",iint,imed,isocial,",1297296000000,",china,hkong,apacz,asiaz,bric,chinaz,devgcoz,dvpcoz,easiaz,",Facebook's HK branch to boost presence
",onlnfr,onlnfr,","India`s Home Ministry wants social networking sites monitored: the Department of Telecommunications has received a letter from the ministry to ensure ""ensure effective monitoring of social networking websites like Facebook and Twitter in order to strengthen cyber security paraphernalia,"" Milind Deora, Minister of State for Communication and IT told the Rajya Sabha. That, of course, is not it: earlier this year, current Telecom minister Kapil Sibal, had also passed the buck to the Home Ministry on the country`s draconian IT Rules; the scope of the Home Ministry`s monitoring of digital platforms is expected to grow.",",iint,imed,isocial,",1312761600000,",india,asiaz,bric,devgcoz,dvpcoz,indsubz,sasiaz,",India’s Home Ministry Wants Facebook & Twitter Monitored
",ukprcc,onlnfr,lgen,","More than 30 million adults in the UK are signed up to Facebook, and the number of people using social media such as Twitter is growing at a phenomenal rate. Together with the increased use of e-mail and text, there is a real shift in the way we communicate. As CFC Underwriting's Graeme Newman highlighted recently (www.postonline.co.uk/2041082), this provides an opportunity for the insurance industry to communicate with its customers in a different way.

It is vital that the industry and the people working within it keep pace with this phenomenal social change. We need to recognise that many of us in the industry — although this probably varies by age — still don't actively use social media tools like Facebook and Twitter.",",isocial,iint,imed,",1306368000000,",uk,eecz,eurz,weurz,",Respect for privacy vital in digital age
",onlnfr,onlnfr,","Facebook has revolutionized both the online world and the manner in which people communicate with each other. According to statistics, Facebook has over 350 million active users worldwide. The Facebook craze has affected everyone. Young children, workaholics, CEOs and elderly people have Facebook account. Facebook facilitates communication, helps people find friends, offers enjoyable games and applications and allows individuals to support causes, organizations and activities. Yet, Facebook can be blamed for some negative impacts. Its popularity, accessibility and information vastness produces some undesired effects. Facebook is responsible for depriving its users of privacy.",",iint,imed,isocial,",1284595200000,",pakis,asiaz,devgcoz,dvpcoz,indsubz,sasiaz,",Facebook
",goog,hewlp,ogara,onlnfr,onlnfr,","The telephoto lens is still one of a private investigator's most valuable tools, but a Facebook account is becoming just as important.

Especially in the business world.",",iint,imed,isocial,",1322438400000,",usa,usoh,namz,usc,",Private eyes 'like' what they see on social media Investigators dig deep for data online
",dwitd,gnmoc,onlnfr,onlnfr,","The Facebook rally is losing steam in the final trading hour.

After rising as much as 18% in its initial public offering Friday, the stock has given back nearly all of those gains during throughout a tumultuous trading debut. Shares are basically flat as trading nears an end. Will the stock be able to hold the $38 level?",",iint,imed,isocial,",1337371260784,",usa,usca,usw,namz,",WSJ LIVE BLOG/Market Beat: Facebook Rally Losing Steam
",dwitd,gnmoc,onlnfr,onlnfr,","The Facebook rally is losing steam in the final trading hour.

After rising as much as 18%, the stock has given back nearly all of those gains during throughout a tumultuous trading debut. Shares are up only 0.3% less than a half hour before the close. Will the stock be able to hold the $38 level?",",iint,imed,isocial,",1337370647533,",usa,usca,usw,namz,",WSJ LIVE BLOG/Market Beat: Facebook IPO As Trading Day Nears End
",onlnfr,onlnfr,","FACEBOOK has come under fire from its own members after it refused to ban groups glorifying gunman Raoul Moat.

The social networking website has been criticised by David Cameron for its stance on the dozens of groups praising the killer. More than 36,000 people have joined the group RIP Raoul Moat You Legend, which portrays him as a misunderstood hero.",",iint,imed,isocial,",1279152000000,",uk,eecz,eurz,weurz,",NOW FACEBOOK MEMBERS ATTACK TRIBUTE PAGE TO GUNMAN MOAT; RASHID RAZAQ
",goog,onlnfr,onlnfr,","FACEBOOK is set to avoid up to $14 billion (£8.6 billion) in tax after its imminent float on Nasdaq, writes Simon Duke.

The social network will generate a giant tax credit when Mark Zuckerberg, the founder, staff and early backers cash in hundreds of millions of stock options.",",iint,imed,isocial,",1336262400000,",uk,eecz,eurz,weurz,",Facebook in £8bn tax dodge; FLOAT BONANZA Facebook in line for tax break
",onlnfr,onlnfr,goog,","THERE are 700million of us using Facebook and Twitter to share our lives with others. But what if you want to stop? Social networking is the communication mantra of the decade, with individuals, companies and celebrities all using it to give out information.

But now, with firms such as insurance companies checking their clients' activities on these sites, there is growing concern about how much personal data we put out there. Is it possible to walk away from Facebook, for instance, without leaving a ""digital footprint"" of personal details? I am a bit of a FB addict myself — at one point I had almost 800 friends.",",iint,imed,isocial,",1292025600000,",uk,eecz,eurz,weurz,",Why you can't walk away from your digital footprint; WANT TO QUIT FACEBOOK? IT'S NOT THAT EASY
",onlnfr,yoinco,onlnfr,","jdeforge@repub.com

Facebook added some 200 million users in the past 10 months alone, growing to 800 million users worldwide.",",iint,imed,isocial,",1321142400000,",usa,namz,",Mayors befriend Facebook phenom
",onlnfr,onlnfr,","LAWYERS for Facebook are seeking the dismissal of what they call an ``opportunistic and fraudulent'' lawsuit by a New York man claiming half-ownership of the site.

They said yesterday that Paul Ceglia had forged documents, fabricated emails and destroyed evidence. In his 2010 lawsuit, Mr Ceglia claimed a 2003 contract he and Facebook founder Mark Zuckerberg signed entitled Mr Ceglia to 50 per cent of Facebook, which launched the following year.",",iint,imed,isocial,",1332892800000,,Fight for Facebook cash
",twnit,","PARIS HILTON and Demi Moore are fans, but what drives millions of us to use social networking site Twitter? Psychologist Alan Redman says it might be because we worship a celebrity or want to boost our self-esteem. It may even be a desire to join a ""Twit-mob"".

Alan said: ""Why do people tweet? There's no single answer. Different people get different benefits. It may give us a sense of community or perhaps we just don't want to feel left out.""",",isocial,iint,imed,",1298505600000,",uk,eecz,eurz,weurz,",Why going on Twitter. makes you feel fitter; ...BUT DON'T BE ON IT ALL THE TIME
",onlnfr,onlnfr,","More than 100,000 members from all over the world have expressed their grief on Facebook over the Pike River mine disaster.",",iint,imed,isocial,",1290643200000,",nz,ausnz,apacz,",SYMPATHY ON FACEBOOK
",onlnfr,onlnfr,goog,","THERE are 700million of us using Facebook and Twitter to share our lives with others. But what if you want to stop? Social networking is the communication mantra of the decade, with individuals, companies and celebrities all using it to give out information.

But now, with firms such as insurance companies checking their clients' activities on these sites, there is growing concern about how much personal data we put out there. Is it possible to walk away from Facebook, for instance, without leaving a ""digital footprint"" of personal details? I am a bit of a FB addict myself — at one point I had almost 800 friends.",",iint,imed,isocial,",1292025600000,",uk,eecz,eurz,weurz,",Why you can't walk away from your digital footprint; WANT TO QUIT FACEBOOK? IT'S NOT THAT EASY
",unvbeg,onlnfr,onlnfr,","A research conducted by the University of Bergen, Norway, revealed that Facebook addiction occurs regularly among younger than older users. It was also found that people who are anxious and socially insecure use Facebook, probably because they find it easier to communicate via social media than face-to-face

Women are more likely to develop Facebook addiction while ambitious people are at less risk, reveals a new research conducted in Norway. While many of us would accept to be hooked on social media, chances of Facebook being the most addictive networking site are high. And to measure this increasing trend of Facebook addiction, Norway-based researchers have developed a new instrument named the Bergen Facebook Addiction Scale.",",iint,imed,isocial,",1336435200000,",norw,eurz,nordz,scandz,",Measure your Facebook addiction
",onlnfr,","FRESNO, Calif. - Once upon a time, people gave up food for Lent - usually something they needed to cut back on like sweets.

These days, people are vowing to give up Facebook.",",isocial,iint,imed,",1299801600000,",usca,namz,usa,usw,",Users now going Facebook-free for Lent; Social networking among habits sacrificed for period of fasting
",onlnfr,onlnfr,","Facebook on Monday called on a judge to toss out a New York man's claim to partial ownership of the world's leading social network on the basis that the suit is bogus.

Paul Ceglia went to court in June with a claim that he signed a contract with Facebook co-founder Mark Zuckerberg in April 2003 to design a website called ""The Face Book"" or ""The Page Book.""",",iint,imed,isocial,",1332787543000,",namz,usa,",Facebook urges court to boot ownership suit
",onlnfr,onlnfr,","While statistics vary, they all point in the same direction: The majority of small businesses are on Facebook.

• Postling, a social media management tool, reports 75 percent of small businesses nationwide are using Facebook.",",isocial,iint,imed,",1338681600000,",usor,namz,usa,usw,",Social networking savvy; How businesses are benefitting from Facebook
",onlnfr,onlnfr,","Although Facebook is a very popular social networking site, it is important that people show self-discipline when using it.

There is a tendency for some people to rant online, but we should show respect for other users.",",iint,imed,isocial,",1285891200000,,Strike balance with Facebook
",onlnfr,onlnfr,","SAN FRANCISCO: Facebook Inc has agreed to pay $10 million (R83m) to charity to settle a lawsuit that accused the site of violating users' rights to control the use of their own names, photographs and likenesses, according to court documents made public over the weekend.

The lawsuit, brought by five Facebook members, alleged the social networking site violated California law by publicising users' ""likes"" of certain advertisers on its ""Sponsored Stories"" feature without paying them or giving them a way to opt out, the documents said.",",iint,imed,isocial,",1339977600000,",usca,sfra,namz,usa,usw,",$10 million|Facebook|privacy|settlement
",onlnfr,onlnfr,usdojc,","Commentators in the US have noticed a rising trend where employers have been requesting Facebook log-in details from job applicants.

Senators in the US are planning to ask the US Department of Justice to look into this matter and investigate whether employers demanding access to private individual social networking sites are violating federal law.",",isocial,iint,imed,",1332979200000,",uk,usa,eecz,eurz,namz,weurz,","Work-life boundaries are blurring through use of social network sites; John Turnbull, partner and head of employment at Exeter-based Stones Solicitors LLP, considers how social networking sites could lead to employment claims and urges employers and employees to be aware of the consequences of their online activity"
",onlnfr,","FRESNO, Calif. - Once upon a time, people gave up food for Lent - usually something they needed to cut back on like sweets.

These days, people are vowing to give up Facebook.",",isocial,iint,imed,",1299801600000,",usca,namz,usa,usw,",Users now going Facebook-free for Lent; Social networking among habits sacrificed for period of fasting
